id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
109,Mexico,Mexico,55.8298606,52.5979365,90.3435939,64.25558338,983.6197024,77.82452409,217.0196947,89.63027087,160.4324223,86.12496788,37.9310579,96.23655714,27.01260421,93.43382491,146.8954708,83.40828818,172.8176809,89.72815782,1786.411708,40.49064217,96.74030153,0.192433002,99.96545254,10200.80583,61.13506442,44.29347826,57.53424658,60.35665295,52.85714283,18.27,Americas,Central America,Developing,Americas,127017000,1,0.28,25-29%,0.07,5-9%,1.29469E+12,1,MEX,Member body,Full Member,0.31,0.638,3.93,13,86.66666667,0.7,18.27
110,Micronesia (Federated States of),Micronesia,45.2574709,22.14,91.1559001,45.03507535,996.9530694,77.41668071,88.20281918,97.77514948,208.1976366,81.47445806,60.71118275,91.67340886,21.21185538,94.94428902,101.2200788,90.75365787,58.76576867,96.89037406,1650.470108,112.3619942,89.98597111,2.845702965,99.48911148,3049.091768,41.44823071,,37.67123288,56.65294925,,44.28,Oceania,Micronesia,Developing,Western Pacific,103000,10,0.34,30-34%,0.04,1-4%,318071979,10,FSM,Non Member,Non Member,-0.56,0.611,,0,0,,44.28
111,Mongolia,Mongolia,50.0038148,81.0966667,67.9531579,65.07366421,1350.116632,66.6140515,578.1223846,66.79834327,533.5255232,49.79993187,258.6754829,52.01864568,181.9834449,53.08077732,361.3044073,48.92773232,225.176664,86.44012563,3618.010337,123.1023278,88.97661536,6.003470852,98.92219801,4387.707056,47.38160529,46.4673913,38.12785388,68.03840878,,88.86,Asia,Eastern Asia,Developing,Western Pacific,3029335,7,0.27,25-29%,0.04,1-4%,12015944337,7,MNG,Member body,Affiliate Country,-0.54,0.694,4.01,11,73.33333333,,88.86
112,Montenegro,Montenegro,60.0011728,49.875,88.5880211,64.24005185,659.4691103,87.73969944,866.4732901,48.56639103,114.3182208,90.61473203,33.72471414,97.07914121,29.52747354,92.77897499,125.7304918,86.81197205,17.59882539,99.47557008,1914.090001,67.24787438,94.22570869,0,100,7110.762932,55.25232161,51.63043478,54.10958904,79.01234568,,59.75,Europe,Southern Europe,Developed,European,622421,8,0.18,15-19%,0.14,10-14%,4587928884,8,MNE,Correspondent member,Associate Member,0.16,0.774,4.2,6,40,,59.75
113,Morocco,Morocco,40.948571,76.7003175,89.2745161,65.45173134,889.5726097,80.70125311,159.9855036,93.23644872,283.4136539,74.15128717,59.32586379,91.95090583,41.7037705,89.60837407,169.8858583,79.71104797,21.16494558,99.25162535,1684.026599,57.29667411,95.16090321,1.677719921,99.69879926,3056.118453,41.48575604,36.41304348,48.85844749,37.03703704,85.71428569,77.72,Africa,Northern Africa,Developing,Eastern Mediterrainian,34121000,2,0.25,25-29%,0.06,5-9%,1.10009E+11,3,MAR,Member body,Associate Member,-0.07,0.468,3.64,10,66.66666667,0.909090909,77.72
114,Mozambique,Mozambique,21.6227142,28.009365,80.6640344,36.55648833,1387.082716,65.48332642,189.0065983,91.40149276,247.4267429,77.65503954,258.3361087,52.08662665,58.34527852,85.27507135,225.6873996,70.7372235,68.67227037,96.26826693,2547.910075,80.34860914,92.99452701,33.00435129,94.07473504,584.0137431,14.50610568,12.5,35.61643836,23.86831276,28.57142846,28.79,Africa,Eastern Africa,Least Developed,Africa,25736000,3,0.45,40-45%,0.03,1-4%,15938468563,6,MOZ,Correspondent member,Affiliate Country,-0.65,0.372,2.76,4,26.66666667,0.545454545,28.79
115,Myanmar,Myanmar,21.547901,50.7983333,81.5589152,44.69325223,939.8245975,79.16413646,498.0602974,71.86053702,329.3320453,69.68058745,115.9749011,80.6033843,92.56575169,76.3643603,190.5153138,76.39348526,51.77074627,97.32964651,2354.287471,76.54306097,93.35216506,59.70075657,89.28193444,1106.983824,24.93082944,,15.98173516,23.73113855,,74.93,Asia,South-Eastern Asia,Least Developed,South-East Asia,52147000,2,0.24,20-24%,0.05,5-9%,64330038665,4,MMR,Correspondent member,Affiliate Country,-1.51,0.371,,4,26.66666667,,74.93
116,Namibia,Namibia,44.2411167,59.875,78.4688539,59.2365339,1225.266591,70.43298653,300.1765339,84.37240106,237.0583175,78.66452866,210.1894988,61.731004,68.80354004,82.55183179,380.056256,45.9121203,118.6112195,93.1322077,2657.605525,116.4405526,89.60267609,1.003016247,99.81992868,5511.058544,51.09767619,26.90217391,54.79452055,44.17009602,,59.75,Africa,Southern Africa,Developing,Africa,2482100,7,0.35,35-39%,0.04,1-4%,12995241138,7,NAM,Member body,Affiliate Country,0.19,0.52,3.29,9,60,,59.75
117,Nepal,Nepal,24.6106597,58.86,85.8530972,49.9152396,584.3487573,90.03749402,281.5135031,85.55243372,293.2813731,73.19054773,216.1554343,60.53595136,28.29365254,93.10025116,97.21960849,91.39700065,40.59875638,98.03122358,1734.471396,174.7190542,84.12577542,18.34125707,96.70719758,691.3690872,17.25707974,17.11956522,29.22374429,34.84224966,,77.72,Asia,Southern Asia,Least Developed,South-East Asia,28039000,3,0.33,30-34%,0.06,5-9%,19769642123,6,NPL,Member body,Affiliate Country,-0.93,0.452,2.93,6,40,,77.72
118,Netherlands,Netherlands,92.256465,100,94.0941915,95.39373975,342.420411,97.43764085,514.4822398,70.82220468,25.07795504,99.30332976,27.31017192,98.36405547,6.076589721,98.88537944,81.1708978,93.9779027,29.33418474,98.7386146,1145.33179,119.4548942,89.31939411,0.004446288,99.99920176,50792.51426,87.30459433,95.38043478,90.86757991,95.47325103,100,100,Europe,Western Europe,Developed,European,16942373,4,0.17,15-19%,0.17,15-19%,8.79319E+11,1,NLD,Member body,Full Member,1.77,0.894,5.81,15,100,1,100
