id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
142,Saudi Arabia,Saudi Arabia,66.9592948,44.5733333,88.3830067,64.1334966,1716.522708,55.40635797,273.1593453,86.08065334,164.544373,85.72462074,50.37907498,93.74306124,20.15967371,95.2182679,128.1457669,86.42355528,17.68161076,99.47037133,2446.590383,75.72627784,93.42892475,0.27155306,99.95124813,24646.02087,75.51597323,68.47826087,51.82648402,72.01646091,,2.48,Asia,Western Asia,Developing,Eastern Mediterrainian,31565109,2,0.3,30-34%,0.03,1-4%,7.46249E+11,1,SAU,Member body,Full Member,0.06,0.723,4.82,13,86.66666667,,2.48
143,Senegal,Senegal,28.6804356,65.445,83.8641837,53.99409253,1336.123029,67.0420903,281.9370137,85.52565584,301.6857248,72.37228447,114.3019384,80.93849998,48.84909564,87.74779408,213.1266832,72.75719753,86.41586322,95.15400724,2459.544065,76.41206598,93.36447571,0.692651595,99.87564839,1040.127724,23.91527934,27.98913043,39.49771689,23.31961591,,70.89,Africa,Western Africa,Least Developed,Africa,14690400,4,0.42,40-45%,0.04,1-4%,15657551477,6,SEN,Member body,Affiliate Country,-0.48,0.368,3.33,9,60,,70.89
144,Serbia,Serbia,51.9525139,76.7484127,92.6242842,71.74642703,469.082064,93.56329192,656.8826908,61.81845899,77.48649846,94.20073681,31.95383036,97.43387171,12.58556442,97.19049952,81.45242924,93.93262772,25.57163771,98.97489451,1398.017,43.00128987,96.50435572,0.000995512,99.99982128,6353.826383,53.4174782,38.04347826,48.17351598,68.17558299,71.42857138,72.15,Europe,Southern Europe,Developed,European,7097190,5,0.14,10-14%,0.18,15-19%,43866423167,5,SRB,Member body,Full Member,-0.1,0.695,3.7,13,86.66666667,0.818181818,72.15
145,Seychelles,Seychelles,56.46309,56.4222222,88.3200436,65.52766628,671.6778227,87.3662572,222.4908889,89.28433628,571.8207843,46.07143425,55.23101718,92.77115561,12.09651641,97.31784334,111.7046627,89.0675608,78.36234904,95.65975071,1755.279983,29.48850838,97.77426075,2.407433578,99.5677939,15695.59289,68.15987077,40.76086957,56.84931507,60.08230453,100,22.6,Africa,Eastern Africa,Developing,Africa,92833,10,0.22,20-24%,0.08,5-9%,1422608276,9,SYC,Correspondent member,Affiliate Country,0.28,0.636,3.8,7,46.66666667,1,22.6
146,Sierra Leone,Sierra Leone,16.2360284,61.2633333,74.5212807,42.00686248,1947.608325,48.33787045,323.6450835,82.88852337,471.7807895,55.81151362,194.86382,64.80093208,87.70161247,77.63093949,286.5648717,60.94710415,164.7553434,90.23445538,3588.14391,110.6077828,90.1508285,0.616281253,99.88935914,797.6024353,19.58724929,6.25,24.42922374,14.6776406,,75.86,Africa,Western Africa,Least Developed,Africa,6502960,6,0.41,40-45%,0.03,1-4%,4837512587,8,SLE,Correspondent member,Affiliate Country,-1.14,0.305,2.53,7,46.66666667,,75.86
147,Singapore,Singapore,91.0631375,90.7133333,96.74518,92.79993898,258.6508149,100,353.4771366,81.00229184,17.92248076,100,25.56074723,98.71448745,3.736797093,99.49464092,86.60007845,93.10479933,23.64860255,99.095657,782.9060429,13.30938531,99.29474339,0,100,55979.75705,88.88983291,99.45652174,97.71689498,78.18930041,100,72.14,Asia,South-Eastern Asia,Developing,Western Pacific,5541121,6,0.16,15-19%,0.11,10-14%,3.0786E+11,2,SGP,Member body,Full Member,2.07,0.768,5.96,15,100,1,72.14
148,Slovakia,Slovakia,66.5983816,92.3666667,86.2441669,80.95361109,523.18521,91.90837537,1061.992896,36.20400877,109.6273811,91.07144088,40.17699491,95.78666743,21.55077304,94.85603784,186.1338521,77.09809784,74.34237111,95.91219673,2093.443201,76.41311009,93.36437759,0.02061198,99.99629954,18050.17245,70.43850629,44.83695652,68.26484018,82.85322359,100,77.1,Europe,Eastern Europe,Developed,European,5424051,6,0.15,15-19%,0.14,10-14%,1.00249E+11,4,SVK,Member body,Full Member,0.78,0.802,3.95,15,100,1,77.1
149,Slovenia,Slovenia,74.926091,89.9283333,81.96907,82.04646534,703.0195493,86.40757095,1424.195237,13.30255205,49.95598908,96.88115824,27.88580273,98.24874931,14.59649965,96.66686963,312.841047,56.72145412,53.69892774,97.20856083,2674.087008,87.88559298,92.28621587,0.008362271,99.99849872,23296.57769,74.59801637,60.59782609,73.28767123,91.22085048,,93.19,Europe,Southern Europe,Developed,European,2064000,7,0.15,15-19%,0.18,15-19%,49491440620,5,SVN,Member body,Full Member,1,0.863,4.53,13,86.66666667,,93.19
150,Solomon Islands,Solomon Islands,30.9561223,35.455,89.2918681,46.10471243,824.5298909,82.69079124,86.52500312,97.88123502,216.816453,80.63531412,69.02738001,90.00756894,31.26141142,92.32747278,114.9245899,88.54974246,52.33237134,97.29437765,1607.293091,137.1431249,87.65708846,74.73286596,86.58322268,1889.991818,33.65138747,,30.82191781,28.39506173,,70.91,Oceania,Melanesia,Least Developed,Western Pacific,641900,8,0.39,35-39%,0.03,1-4%,1158183054,10,SLB,Non Member,Non Member,-0.86,0.405,,0,0,,70.91
151,Somalia,Somalia,6.325897653,34.515,76.0628539,25.51335381,1193.884039,71.39292155,163.6053987,93.00756872,390.895332,63.68667172,401.3816692,23.43278441,94.19506036,75.94010262,242.0804088,68.10095246,73.73106809,95.95058525,2620.589637,40.05725413,96.7810305,20.75940683,96.27306761,521.2230393,12.65179531,,0,,,69.03,Africa,Eastern Africa,Least Developed,Eastern Mediterrainian,11123000,4,0.47,45%+,0.03,1-4%,5707000000,8,SOM,Non Member,Non Member,-2.21,,,0,0,,69.03
152,South Africa,South Africa,56.4604992,90.7166667,81.1711523,74.63533784,1019.217159,76.73566282,219.2886796,89.48680669,173.1326453,84.88845062,168.6964956,70.04257944,33.68675976,91.69593335,458.9584109,33.22332942,176.6099185,89.49001341,2308.720884,59.00295426,95.0005503,0.127861503,99.97704505,6886.290406,54.72939791,42.66304348,60.2739726,68.17558299,100,72.15,Africa,Southern Africa,Developing,Africa,55041000,2,0.3,30-34%,0.06,5-9%,3.50085E+11,2,ZAF,Member body,Full Member,0.43,0.695,3.87,15,100,1,72.15
153,South Sudan,South Sudan,20.101912,6.6666667,73.7944749,21.46462567,1641.34653,57.70586013,210.0412275,90.07150784,422.137987,60.64482891,350.8926132,33.54638346,104.8237695,73.17247999,284.5458499,61.27179675,114.6599161,93.3803411,3194.29792,65.85002723,94.35707565,0,100,1030.613057,23.76546774,,16.43835616,,,,Africa,Eastern Africa,Least Developed,Africa,12152000,4,0.42,40-45%,0.03,1-4%,13282084042,7,SSD,Non Member,Affiliate Country,-1.49,,,1,6.666666667,,
154,Spain,Spain,74.2945586,90.7166667,92.4661969,85.41661609,360.4015232,96.88763143,751.256598,55.85135247,42.23941261,97.63245843,23.42947424,99.14140849,11.49022039,97.4757175,88.32276291,92.82776275,70.94676819,96.12543333,1393.717216,45.5923069,96.26085696,0.038150024,99.99315093,29880.71284,78.65572803,60.05434783,76.71232877,81.7558299,100,72.15,Europe,Southern Europe,Developed,European,46368000,2,0.15,15-19%,0.18,15-19%,1.38134E+12,1,ESP,Member body,Full Member,1.15,0.794,4.51,15,100,1,72.15
155,Sri Lanka,Sri Lanka,51.2144819,59.73,87.3393009,64.40679226,908.3179621,80.12786697,305.440918,84.03954273,117.9996012,90.25630601,97.64427186,84.27524211,20.19340714,95.20948401,217.1890016,72.10390854,14.52003143,99.66891175,1873.196105,166.8820527,84.86228164,25.0088595,95.51016418,3281.068664,42.64359162,42.93478261,45.20547945,74.07407407,,59.46,Asia,Southern Asia,Developing,South-East Asia,20868800,3,0.25,25-29%,0.08,5-9%,78823610057,4,LKA,Member body,Associate Member,-0.23,0.738,3.88,9,60,,59.46
156,State of Palestine,State of Palestine,63.648834,46.6666667,94.4519216,65.46402094,634.8111541,88.49394135,148.8003956,93.94366465,126.436249,89.43489834,45.4923183,94.72194066,13.38708026,96.98179183,72.83355626,95.31868717,39.27376117,98.11443045,1150.705237,58.68235324,95.03067977,10.98836892,98.0272602,,,,,63.64883402,,,Asia,Western Asia,Developing,,,,,,,,0,,PSE,Correspondent member,Affiliate Country,,0.662,,7,46.66666667,,
157,Sudan,Sudan,20.8375102,33.715,85.3244796,39.13640045,1143.204878,72.94310465,191.7403428,91.2286426,204.6117492,81.82358671,116.8592043,80.42624714,94.28488039,75.91671427,175.5461839,78.80077261,41.3820824,97.98203239,2065.402208,67.87506194,94.16676681,29.89782527,94.63244907,1726.094471,32.17260156,,15.52511416,14.81481481,,7.43,Africa,Northern Africa,Least Developed,Eastern Mediterrainian,40883900,2,0.43,40-45%,0.03,1-4%,73814947341,4,SDN,Member body,Affiliate Country,-1.53,0.306,,9,60,,7.43
158,Suriname,Suriname,46.80259,63.7383333,82.3861721,62.63854169,1198.11933,71.26337173,231.4270449,88.71931787,350.4272948,67.62671485,118.7911837,80.03924714,29.99975789,92.65599629,273.9086899,62.98243062,235.6511641,85.78234942,2524.784526,86.29566939,92.43563381,0.164390684,99.97048697,9933.054417,60.70144888,22.55434783,50.456621,53.49794239,,80.81,Americas,South America,Developing,Americas,576000,8,0.28,25-29%,0.06,5-9%,5210303030,8,SUR,Correspondent member,Affiliate Country,0,0.588,3.13,7,46.66666667,,80.81
159,Swaziland,Swaziland,34.9054997,40.8233333,63.947518,44.99960191,1914.320733,49.35607717,328.3662122,82.59001418,363.2250541,66.38070128,356.6791542,32.38726582,137.4425972,64.67882337,625.4514827,6.448448879,272.2508076,83.48397006,4107.462295,109.3602629,90.268068,0.365991603,99.9342936,2822.733712,40.19071738,10.59782609,40.4109589,48.42249657,,34.98,Africa,Southern Africa,Developing,Africa,1286000,8,0.37,35-39%,0.04,1-4%,4412891830,8,SWZ,Correspondent member,Affiliate Country,-0.44,0.551,2.69,7,46.66666667,,34.98
160,Sweden,Sweden,92.1296345,98.1433333,90.5253909,93.54276158,344.3259036,97.37935531,920.5235554,45.14888189,45.30872991,97.33362401,47.77648281,94.2643935,8.652145646,98.21472727,85.56278613,93.27161334,34.86646616,98.39119915,1591.506314,104.4783268,90.7268629,0.011917928,99.99786038,60364.9094,90.1193045,98.09782609,93.60730594,86.69410151,100,94.43,Europe,Northern Europe,Developed,European,9804792,5,0.17,15-19%,0.2,20-26%,5.7109E+11,2,SWE,Member body,Full Member,1.89,0.83,5.91,15,100,1,94.43
161,Switzerland,Switzerland,91.8367537,94.12,82.8849002,89.4797208,501.7977392,92.56257909,1548.92339,5.416196624,26.97679169,99.1184555,30.63274886,97.69850111,8.051427273,98.37114907,262.0321799,64.89237278,34.23190975,98.43104794,2530.417489,117.7267073,89.48180576,0.044594511,99.99199396,84732.95726,95.64730449,91.30434783,91.78082192,88.61454047,,88.24,Europe,Western Europe,Developed,European,8292851,5,0.15,15-19%,0.18,15-19%,7.01037E+11,1,CHE,Member body,Full Member,1.81,0.844,5.66,15,100,,88.24
162,Syrian Arab Republic,Syria,34.2799293,40.2866667,94.7565982,50.76958008,579.2412652,90.19372289,113.5575494,96.1720117,56.20707737,96.2725407,47.26031895,94.36778768,41.97298444,89.53827312,104.7372374,90.18803973,16.11544503,99.56872319,1002.012433,42.87779787,96.51596126,0.042757371,99.99232378,,,,19.8630137,48.69684499,,27.24,Asia,Western Asia,Developing,Eastern Mediterrainian,17065000,4,0.33,30-34%,0.04,1-4%,40405006007,5,SYR,Member body,Non Member,-1.34,0.553,,8,53.33333333,,27.24
163,"Taiwan, Province of China",Taiwan,81.8834376,57.27,93.5822759,75.99277159,821.7950496,82.77444504,360.5065529,80.55783344,85.71291288,93.39979785,29.32355433,97.9607494,18.58344264,95.62870465,61.84806016,97.08533933,56.04716029,97.06109685,1463.256299,29.36542019,97.78582834,0.074146544,99.98668848,,,86.14130435,77.62557078,,,57.27,Asia,Eastern Asia,Developing,Western Pacific,23468000,3,0.14,10-14%,0.12,10-14%,5.46E+11,2,,,,1.19,,5.47,,,,57.27
164,Tajikistan,Tajikistan,34.3108858,42.975,76.1711304,48.24801,446.6844609,94.24839375,547.5794097,68.72952521,679.1493733,35.62172385,277.6309484,48.22162524,111.877606,71.33572284,166.9434539,80.18423599,80.60369707,95.51899884,2404.340434,93.36038746,91.7717053,0.511097066,99.90824284,1048.659569,24.04845524,26.90217391,25.79908676,60.49382716,,65.95,Asia,Central Asia,Developing,European,8452153,5,0.36,35-39%,0.03,1-4%,9241627841,7,TJK,Correspondent member,Non Member,-1.08,0.639,3.29,3,20,,65.95
165,Thailand,Thailand,51.4121286,86.075,85.5458774,72.34034359,1715.648295,55.43310467,198.7059562,90.78821835,388.7423296,63.89629203,30.56583213,97.71190539,21.16897323,94.95545516,162.3411996,80.92435573,41.96600955,97.94536301,2687.608359,125.9684466,88.70726307,2.50131643,99.55093913,5741.207122,51.76464174,42.39130435,55.25114155,56.24142661,,72.15,Asia,South-Eastern Asia,Developing,South-East Asia,65121250,1,0.18,15-19%,0.11,10-14%,4.04824E+11,2,THA,Member body,Full Member,0.21,0.608,3.86,15,100,,72.15
166,The former Yugoslav Republic of Macedonia,Macedonia,50.8335937,85.3822222,89.0320986,72.83748794,463.5083458,93.73378179,828.7831,50.94947959,58.92760043,96.00766553,27.16690072,98.39275451,19.93532185,95.27668716,139.7073229,84.56426301,14.56775953,99.66591453,1742.479973,189.8567654,82.70316265,0.026855944,99.99517856,5195.278822,50.13574545,43.20652174,49.08675799,60.90534979,100,89.48,Europe,Southern Europe,Developed,European,2070100,7,0.17,15-19%,0.13,10-14%,11323769141,7,MKD,Member body,Associate Member,-0.06,0.642,3.89,10,66.66666667,1,89.48
167,Timor-Leste,Timor-Leste,24.380346,40.715,86.8019213,44.1680149,907.8974545,80.14072953,134.2049137,94.8665129,459.7491695,56.98293445,109.74444,81.85142478,27.37607841,93.33917942,147.7748816,83.26686416,92.17087959,94.79260451,1927.381738,48.30090714,96.00630796,0.163013618,99.9707342,1243.995055,26.83310904,11.41304348,21.68949772,37.58573388,,81.43,Asia,South-Eastern Asia,Least Developed,South-East Asia,1244759,8,0.42,40-45%,0.05,5-9%,1417000000,9,TLS,Non Member,Non Member,-1.26,0.472,2.72,0,0,,81.43
168,Togo,Togo,26.0558427,64.6683333,82.9962617,51.90610501,1382.91728,65.61073951,262.017598,86.78512765,321.5315139,70.44006165,139.0848615,75.97416577,53.63671016,86.50114125,200.9339553,74.71799283,89.38735633,94.96740382,2540.648109,91.01306079,91.99230251,0.125773088,99.97741998,626.1728171,15.64239527,,19.17808219,43.34705075,,82.67,Africa,Western Africa,Least Developed,Africa,7231000,5,0.42,40-45%,0.03,1-4%,4518443477,8,TGO,Correspondent member,Affiliate Country,-1.37,0.514,,7,46.66666667,,82.67
169,Tonga,Tonga,54.6133442,14.395,80.6836081,39.88092754,781.8359836,83.99671999,123.3685767,95.55167662,428.6387001,60.01190743,149.5877902,73.87029578,51.36855318,87.09174944,183.4907601,77.5231514,325.1449859,80.16232875,2388.663073,343.3919051,68.27422768,1.835818595,99.67041583,4117.31098,46.3446834,,45.89041096,71.60493827,,28.79,Oceania,Polynesia,Developing,Western Pacific,103300,10,0.37,35-39%,0.06,5-9%,434380117,10,TON,Non Member,Non Member,-0.2,0.72,,0,0,,28.79
170,Trinidad and Tobago,Trinidad and Tobago,65.9376213,70.2785714,86.894173,73.84406881,1076.702333,74.9772962,230.951092,88.74941159,241.3084964,78.25072337,84.31654832,86.94495438,21.66543989,94.8261796,206.6626729,73.79671888,151.145195,91.0891436,2088.61187,75.82245804,93.41988593,0.037634545,99.99324348,18122.74721,70.50392126,,58.44748858,68.86145405,84.28571428,66.55,Americas,Caribbean,Developing,Americas,1351000,8,0.21,20-24%,0.09,5-9%,28882663254,6,TTO,Member body,Affiliate Country,0.35,0.7,,9,60,0.9,66.55
171,Tunisia,Tunisia,51.8657678,76.385,87.5226521,70.25379479,1246.78315,69.77483424,148.5767792,93.95780355,99.04086681,92.10216354,55.90515449,92.63611735,23.0751083,94.45911431,352.8580114,50.28605456,13.43176049,99.73725284,2000.808427,60.56002466,94.85421985,0.577571984,99.89630861,4316.796402,47.1159909,,50.456621,58.02469136,,72.77,Africa,Northern Africa,Developing,Eastern Mediterrainian,11026000,4,0.23,20-24%,0.08,5-9%,48612652412,5,TUN,Member body,Associate Member,0,0.621,,12,80,,72.77
172,Turkey,Turkey,58.9207111,82.1747619,91.5872591,76.25713747,699.1138902,86.52703794,181.1339775,91.89926559,79.73593092,93.98172789,31.26662756,97.57152716,27.75161175,93.24139383,220.7572151,71.53007992,46.13778556,97.68338439,1374.404843,84.10314151,92.64168334,4.404663009,99.20923168,10975.07493,62.32772977,52.17391304,58.90410959,62.27709191,85.71428569,80.81,Asia,Western Asia,Developing,European,78215000,1,0.24,20-24%,0.08,5-9%,7.98429E+11,1,TUR,Member body,Full Member,0.37,0.652,4.22,12,80,0.909090909,80.81
173,Turkmenistan,Turkmenistan,47.7055974,25.4083333,71.8734937,44.33071719,832.2258171,82.45538689,484.3624251,72.72663089,713.0076902,32.32521534,365.1864309,30.68315027,97.3261671,75.12478989,267.383699,64.03175868,119.5042213,93.07612909,2922.377491,43.02704206,96.50193558,0.353998152,99.93644678,7826.773607,56.81636203,,20.3196347,65.98079561,,24.15,Asia,Central Asia,Developing,European,5373000,6,0.28,25-29%,0.04,1-4%,47931929825,5,TKM,Correspondent member,Affiliate Country,-1.32,0.679,,4,26.66666667,,24.15
174,Uganda,Uganda,29.9529109,41.92,74.9261233,45.48112414,1913.540923,49.37993014,112.0518026,96.26721758,368.2602084,65.89046932,256.7720997,52.39991751,130.6364713,66.45107886,336.9933663,52.83735578,123.0041031,92.856344,3257.130744,6.507386942,99.93398202,9.364381695,98.31881432,675.4433134,16.87716531,27.17391304,37.21461187,38.54595336,,23.84,Africa,Eastern Africa,Least Developed,Africa,40141000,2,0.48,45%+,0.02,1-4%,26998477289,6,UGA,Member body,Affiliate Country,-0.58,0.479,3.3,9,60,,23.84
175,Ukraine,Ukraine,51.5759436,68.5633333,76.2929059,64.61615141,887.7880935,80.7558382,514.2116563,70.83931323,412.1568865,61.61660736,242.3589155,55.28706133,121.8217049,68.74636671,204.3856468,74.1629029,189.3907859,88.68740226,2721.134783,149.0192412,86.54099405,0.001852468,99.99966743,4029.715504,45.99411417,42.66304348,35.61643836,82.03017833,,50.46,Europe,Eastern Europe,Developed,European,42828300,2,0.15,15-19%,0.15,15-19%,1.31805E+11,3,UKR,Member body,Full Member,-0.65,0.796,3.87,13,86.66666667,,50.46
176,United Arab Emirates,United Arab Emirates,75.6873485,41.9316667,89.8600717,65.82295759,1501.690327,61.97768865,185.2816866,91.63701278,126.0651092,89.4710332,57.4110204,92.33447328,25.19718505,93.90654413,119.3325028,87.84087608,16.33095873,99.55518939,2122.001149,90.63843264,92.02750934,0.053926951,99.9903185,44506.76359,85.15095471,75.27173913,77.16894977,65.15775034,,10.53,Asia,Western Asia,Developing,Eastern Mediterrainian,9577000,5,0.16,15-19%,0.01,1-4%,3.99451E+11,2,ARE,Member body,Full Member,1.17,0.673,5.07,11,73.33333333,,10.53
177,United Kingdom of Great Britain and Northern Ireland,United Kingdom,87.426869,94.2233333,92.862696,91.45656641,272.4566758,99.5777039,739.4312165,56.59905184,19.5447266,99.84205514,33.21651034,97.18094088,11.98200597,97.34766085,100.9107378,90.8034051,48.35175151,97.54435207,1265.010149,39.11249923,96.86981673,0.004025522,99.9992773,41776.75948,84.11901357,90.76086957,84.01826484,90.80932785,100,82.67,Europe,Northern Europe,Developed,European,65092000,1,0.18,15-19%,0.17,15-19%,2.98889E+12,1,GBR,Member body,Full Member,1.47,0.86,5.64,15,100,1,82.67
178,United Republic of Tanzania,Tanzania,26.3306468,72.7366667,81.246717,53.78653671,844.2113054,82.08877267,265.2647267,86.57981705,379.0504341,64.83991294,257.6558791,52.22288527,55.31162097,86.06500917,217.2761906,72.08988709,89.47820117,94.96169896,2195.109917,86.74487074,92.39341874,0.116687857,99.97905105,927.0601337,22.03922359,16.84782609,35.15981735,31.27572016,,72.14,Africa,Eastern Africa,Least Developed,Africa,52291000,2,0.45,40-45%,0.03,1-4%,48056680982,5,TZA,Member body,Affiliate Country,-0.67,0.426,2.92,11,73.33333333,,72.14
179,United States of America,United States of America,89.1196104,94.2233333,89.2744749,90.84192931,798.4674609,83.48799343,464.6115702,73.97544488,72.21822155,94.71366601,65.36722752,90.74074396,29.09006795,92.89287157,141.4077156,84.29081132,78.28105478,95.66485581,1785.175843,134.730007,87.8838686,1.002517035,99.82001831,52980.04363,87.99199543,88.85869565,84.70319635,94.92455418,100,82.67,Americas,North America,Developed,Americas,321234172,1,0.19,15-19%,0.15,15-19%,1.7419E+13,1,USA,Member body,Full Member,1.5,0.89,5.57,15,100,1,82.67
180,Uruguay,Uruguay,62.5534224,82.7466667,86.5792281,76.52531003,771.7922779,84.30393862,398.4272479,78.16017043,148.878251,87.24990342,72.0709145,89.39791033,24.83657306,94.00044433,294.5593351,59.66146025,137.2576513,91.96125165,1912.282632,64.34702058,94.49832531,0.113360602,99.97964839,16879.45316,69.34531528,50.54347826,59.8173516,70.50754458,100,88.24,Americas,South America,Developing,Americas,3562000,7,0.21,20-24%,0.14,10-14%,57471030095,4,URY,Member body,Affiliate Country,0.41,0.712,4.16,9,60,1,88.24
181,Uzbekistan,Uzbekistan,41.5608886,26.2666667,76.5967701,43.7287183,853.1450115,81.81550689,525.5517702,70.12229653,570.8987448,46.16120573,205.9213993,62.58595853,74.38279651,81.09904234,249.6863918,66.87778273,72.77071273,96.01089351,2720.984271,168.6273416,84.69826277,0.000103099,99.99998149,1877.964512,33.54731437,,28.99543379,62.1399177,,19.2,Asia,Central Asia,Developing,European,31290791,2,0.28,25-29%,0.04,1-4%,62643953022,4,UZB,Member body,Non Member,-0.94,0.651,,5,33.33333333,,19.2
182,Vanuatu,Vanuatu,47.4414904,46.905,88.5276792,58.18604625,1034.744617,76.2607062,98.31601683,97.13570867,245.7410154,77.8191651,79.10357874,87.98917838,34.3726252,91.51734,130.5854509,86.03121314,78.27689342,95.66511714,1863.329239,150.8200462,86.37175789,11.36899598,97.9589263,3167.055303,42.06703476,,45.66210046,54.59533608,,93.81,Oceania,Melanesia,Least Developed,Western Pacific,277500,9,0.39,35-39%,0.04,1-4%,814954307,10,VUT,Non Member,Non Member,-0.21,0.596,,0,0,,93.81
183,Venezuela (Bolivarian Republic of),Venezuela,45.737496,10.6303174,88.1007392,34.98909608,1458.622282,63.29506159,175.5254027,92.25388652,168.9180752,85.29878898,34.71695429,96.8803829,17.71629843,95.85450139,211.2099112,73.06544664,121.0595078,92.97846043,2263.790333,74.60734438,93.53407995,1.414557442,99.74604477,12265.03114,64.13931166,27.98913043,24.42922374,66.39231824,5.71428566,19.51,Americas,South America,Developing,Americas,30620000,3,0.28,25-29%,0.06,5-9%,3.81286E+11,2,VEN,Non Member,Non Member,-1.14,0.682,3.33,1,6.666666667,0.4,19.51
184,Vietnam,Vietnam,39.9397673,70.4188889,84.5281904,61.94868473,1512.29548,61.65329636,247.3319067,87.71367969,524.5884539,50.67006151,21.03730631,99.62059011,19.04296632,95.50904871,152.1691004,82.56020002,37.6556644,98.21604347,2672.95321,149.3879315,86.50634525,9.444400558,98.30444855,1908.64034,33.81145202,39.13043478,43.60730594,43.20987654,100,44.59,Asia,South-Eastern Asia,Developing,Western Pacific,91714080,1,0.24,20-24%,0.07,5-9%,1.86205E+11,3,VNM,Member body,Associate Member,-0.3,0.513,3.74,10,66.66666667,1,44.59
185,Yemen,Yemen,20.0555026,39.4707937,80.4709154,39.93767548,1453.105752,63.46380218,201.9578451,90.58260678,289.1299793,73.59473513,201.7904173,63.41344668,102.0116968,73.90471905,202.5808821,74.45313936,27.80478439,98.83465767,2632.289522,152.8513683,86.18085817,1.056796852,99.81027346,1408.146193,28.85369463,8.967391304,23.05936073,19.34156379,14.28571431,37.46,Asia,Western Asia,Least Developed,Eastern Mediterrainian,26737000,3,0.41,40-45%,0.03,1-4%,35954502304,5,YEM,Member body,Affiliate Country,-1.2,0.339,2.63,10,66.66666667,0.454545455,37.46
186,Zambia,Zambia,37.5185514,64.6683333,82.4019812,58.47341535,758.6057341,84.70729095,101.8351784,96.91319788,342.0192292,68.44533971,212.2298062,61.32230452,120.1469859,69.18244884,214.7420367,72.49742157,86.12247419,95.17243144,1911.901565,76.11831832,93.39208155,0.081801561,99.98531418,1759.192902,32.48224107,24.18478261,39.49771689,53.90946502,,82.67,Africa,Eastern Africa,Least Developed,Africa,15473900,4,0.46,45%+,0.03,1-4%,27066230009,6,ZMB,Correspondent member,Affiliate Country,-0.48,0.591,3.19,7,46.66666667,,82.67
187,Zimbabwe,Zimbabwe,27.7881903,53.7314286,82.3502991,49.72612427,1160.139104,72.42511756,314.014209,83.49746768,274.9314071,74.97713444,195.1242271,64.74876923,74.95152551,80.9509503,162.9150308,80.83207404,56.3069433,97.04478303,2361.321963,95.87379057,91.53550054,27.06572515,95.14089547,905.5003242,21.65562133,23.64130435,24.42922374,41.4266118,85.71428569,15.48,Africa,Eastern Africa,Developing,Africa,17354000,3,0.43,40-45%,0.03,1-4%,14196912535,7,ZWE,Member body,Affiliate Country,-1.14,0.5,3.17,9,60,0.909090909,15.48
